comp_id;comp_name;country;city;level;date;format
CC2007IVA;12th Croatia Cup;CRO;Ivanic Grad;IC;24.6.2007;IR1800F
NC2007FRA;French National Championships;FRA;Compiegne;NC;8.7.2007;IR1800
BC2007CZE;8th Bohemia Cup;CZE;Otrokovice;IC;9.7.2007;IR1800F
ECH2007RUS;8th IAU European Championships;RUS;Sankt Petersburg;CCH;22.9.2007;IR1800F
IC2007ESB;2nd Europa Cup;CRO;Slavonski Brod;IC;11.11.2007;IR1200F
IC2008GER;Hessen Cup;GER;Bad Homburg;IC;4.5.2008;IR1800
NC2008FRA;French National Championships;FRA;Parthenay;NC;8.6.2008;IR1800
CC2008IVA;13th Croatia Cup;CRO;Ivanic Grad;IC;22.6.2008;IR1800F
NC2008GER;German National Championship;GER;Kiel;NC;22.6.2008;IR1800
CE2008SUI;FZO Cup;SUI;Weinfelden;IC;9.7.2008;IR900
WCH2008SUI;14th IAU World Championships;SUI;Weinfelden;WCH;14.7.2008;IR1800F
BC2008CZE;9th Bohemia Cup;CZE;Otrokovice;IC;9.8.2008;IR1800F
IC2008ESB;3rd Europa Cup;CRO;Slavonski Brod;IC;9.11.2008;IR1200
CE2009CRO;Malin Cup;CRO;Malinska;IC;26.3.2009;IR600
LT2009SUI;Eroffnungsmatch;SUI;First;LT;9.5.2009;IR900
IC2009GER;Mehrlanderkampf;GER;Zirndorf;IC;24.5.2009;IR1800
NC2009FRA;French National Championships;FRA;Chabris;NC;7.6.2009;IR1800
CC2009IVA;14th Croatia Cup;CRO;Ivanic Grad;IC;21.6.2009;IR1800F
BC2009CZE;10th Bohemia Cup;CZE;Otrokovice;IC;5.7.2009;IR1800F
NC2009GER;German National Championship;GER;Herborn-Seelbach;NC;12.7.2009;IR1800
CE2009CZE;Otrokovice Cup;CZE;Otrokovice;IC;11.8.2009;IR900
ECH2009CZE;9th IAU European Championships;CZE;Otrokovice;CCH;15.8.2009;IR1800F
LT2009SUI2;Schlussmatch;SUI;First;LT;12.9.2009;IR900
IC2009ESB;4th Europa Cup;CRO;Slavonski Brod;IC;8.11.2009;IR1200
LT2010SUI;Eroffnungsmatch;SUI;First;LT;25.4.2010;IR900
ENN2010GER;22. Eurocup Ennigerloh;GER;Ennigerloh;IC;23.5.2010;IR1800
NC2010FRA;French National Championships;FRA;Chabris;NC;13.6.2010;IR1800
CC2010IVA;15th Croatia Cup;CRO;Ivanic Grad;IC;20.6.2010;IR1800F
BC2010CZE;11th Bohemia Cup;CZE;Otrokovice;IC;4.7.2010;IR1800F
NC2010GER;German National Championship;GER;Hausen;NC;10.7.2010;IR900
SRH2010GER;Hausen Cup;GER;Hausen;IC;11.7.2010;IR1800
IC2010SUI;Swiss Open National Championships;SUI;First;IC;31.7.2010;IR900
CE2010FRA;City Cup of Avon;FRA;Avon;IC;1.9.2010;IR900
WCH2010FRA;15th IAU World Championships;FRA;Avon;WCH;5.9.2010;IR1800F
IC2010ESB;5th Europa Cup;CRO;Slavonski Brod;IC;3.10.2010;IR1200
LT2011SUI;Eroffnungsmatch;SUI;First;LT;1.5.2011;IR900
AO2011AUT;2. Austria Open;AUT;Innsbruck;IC;5.6.2011;IR1800
CC2011IVA;16th Croatia Cup;CRO;Ivanic Grad;IC;19.6.2011;IR1800F
BC2011CZE;12th Bohemia Cup;CZE;Otrokovice;IC;3.7.2011;IR1800F
NC2011GER;German National Championship;GER;Hausen;NC;23.7.2011;IR900
SRH2011GER;Hausen Cup;GER;Hausen ;IC;24.7.2011;IR1800
NC2011FRA;French National Championships;FRA;Cusset;NC;24.7.2011;IR1800
CE2011HUN;Highlands Cup;HUN;Budapest;IC;2.8.2011;IR900
ECH2011HUN;10th IAU European Championships;HUN;Budapest;CCH;6.8.2011;IR1800F
IC2011ESB;6th Europa Cup;CRO;Slavonski Brod;IC;2.10.2011;IR1200
CE2011TPE;ROC Centennial Cup;TPE;Taoyuan;IC;22.11.2011;IR1800
ACH2011TPE;6th IAU Asian Championships;TPE;Taoyuan;CCH;23.11.2011;IR1800old
IC2012HUN;Hungarian Open;HUN;Budapest;IC;18.2.2012;IR600
IC2012GER;Mehrlanderkampf;GER;Stuttgart;IC;19.5.2012;IR1800
AO2012AUT;3. Austria Open;AUT;Innsbruck;IC;9.6.2012;IR1800
NC2012FRA;French National Championships;FRA;Parthenay;NC;16.6.2012;IR1800
NC2012AUT;Austrian National Championships;AUT;Stockerau;NC;23.6.2012;IR900
CC2012BRA;17th Croatia Cup;CRO;Bratina;IC;24.6.2012;IR1800F
BC2012CZE;13th Bohemia Cup;CZE;Otrokovice;IC;8.7.2012;IR1800F
NC2012GER;German National Championship;GER;Winsen/Luhe;NC;21.7.2012;IR900
CE2012CRO;Kras Cup;CRO;Bratina;IC;14.8.2012;IR900
WCH2012CRO;16th IAU World Championships;CRO;Bratina;WCH;18.8.2012;IR1800F
IC2012ESB;7th Europa Cup;CRO;Slavonski Brod;IC;7.10.2012;IR1200
IC2013AUT;International Competition;AUT;Stockerau;IC;11.5.2013;IR1800F
AO2013AUT;4. Austria Open;AUT;Innsbruck;IC;2.6.2013;IR1800
NC2013FRA;French National Championships;FRA;Chatenoy-le-Royal;NC;16.6.2013;IR1800
CC2013IVA;18th Croatia Cup;CRO;Ivanic Grad;IC;23.6.2013;IR1800F
NC2013BEL;Belgian National Championships;BEL;Brugge;NC;30.6.2013;IR900
