athlete_id;athlete_name;country;club;gender;id_copy;instance
CRO00134;BOGDAN Nenadic;CRO;SSK Dub;;CRO00134;1
CRO00135;VIJACKIC Ljuban;CRO;SK Pozega;;CRO00135;1
CRO00136;SPERANDA Vedran;CRO;GSD Pozega 1871;;CRO00136;1
CRO00137;TOMIC Ante;CRO;SK Pozega;;CRO00137;1
CRO00138;RAKIC Dominick;CRO;PGSD Zagreb;;CRO00138;1
CRO00139;PROTIC Alen;CRO;SK Pozega;;CRO00139;1
CRO00140;ANDRISEK Gabrijel;CRO;GSD Pozega 1871;;CRO00140;1
CRO00141;VRBAN Anamarija;CRO;SK Ivanic;;CRO00141;1
CRO00142;BENACIC Daniel;CRO;SD Dubrava 1094;;CRO00142;2
CRO00143;BJELOBRK Lovro;CRO;SK Predionica;;CRO00143;2
CRO00144;BLAGEC Petar;CRO;SK Ivanic;;CRO00144;2
CRO00145;DUMIC Helena;CRO;SD Dubrava 1094;;CRO00145;2
CRO00146;KELECIC Ivan;CRO;SD Dubrava 1094;;CRO00146;3
CRO00147;KOMAR Sanja;CRO;SK Pozega;;CRO00147;2
CRO00148;KOZUMPLIK Valentina;CRO;SD Dubrava 1094;;CRO00148;2
CRO00149;KRIVANEK Nikolina;CRO;PGSD Zagreb;;CRO00149;2
CRO00150;MALBASIC Jovan;CRO;SK Pozega;;CRO00150;3
CRO00151;PEREGLIN Branka;CRO;SD Dubrava 1094;;CRO00151;2
CRO00152;POZEGA Igor;CRO;GSD Pozega 1871;;CRO00152;2
CRO00153;STEHEC SUSAC Fran;CRO;SD Dubrava 1094;;CRO00153;2
CRO00154;STRBENAC Luka;CRO;SD Dubrava 1094;;CRO00154;2
CRO00155;TIJAN Zeljko;CRO;SD Dubrava 1094;;CRO00155;2
CRO00156;PROTIC Nikolina;CRO;-;;CRO00156;1
CRO00157;BRADARIC Mirna;CRO;-;;CRO00157;1
CRO00158;JELAKOVIC Grigor;CRO;SK Ivanic;;CRO00158;1
CRO00159;LENARDIC Matija;CRO;SD Dubrava 1094;;CRO00159;1
CRO00160;VUK Laura;CRO;SD Dubrava 1094;;CRO00160;1
CRO00161;CINDRIC Valentina;CRO;PGSD Zagreb;;CRO00161;1
CRO00162;SENJANEC Marko;CRO;SD Dubrava 1094;;CRO00162;1
CRO00163;RADIC Ivano;CRO;SK Ivanic;;CRO00163;1
CRO00164;BELOBRAJDIC Goran;CRO;SK Trnje;;CRO00164;2
CRO00165;BOROZAN Zoran;CRO;SD Dubrava 1094;;CRO00165;3
CRO00166;BOROZAN Zoran;CRO;SK Ivanic;;CRO00166;3
CRO00167;CIMERMAN Ivan;CRO;SK Radnik V.O.;;CRO00167;3
CRO00168;BUNJEVAC Ivan;CRO;PGSD Zagreb;;CRO00168;2
CRO00169;CIMERMAN Ivan;CRO;SD Dubrava 1094;;CRO00169;3
CRO00170;MALBASIC Jovan;CRO;Spin Valis;;CRO00170;3
CRO00171;KNEZIC Tea;CRO;SD Strijelac;;CRO00171;1
CRO00172;BABIC Mateja;CRO;SD Strijelac;;CRO00172;1
CRO00173;MARIC Matej;CRO;SK Sopot;;CRO00173;1
CRO00174;JURESKO Ana;CRO;SK Lokomotiva;;CRO00174;1
CRO00175;REDE Valerija;CRO;PGSD Zagreb;;CRO00175;1
CRO00176;VIGNJEVIC Dean;CRO;SSK Dub;;CRO00176;1
CRO00177;VUGRIN Josip;CRO;SD Strijelac;;CRO00177;1
CRO00178;BLAZEVIC Robert;CRO;SK Pozega;;CRO00178;1
